,translationsCount,lexicalEntryCount,lexicalSenseCount,type,wiktionaryDumpVersion,dataSet,pageCount,observationLanguage
0,6718,90462,89122,http://purl.org/linked-data/cube#Observation,2015-06-02,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85527,id
0,6719,90463,89123,http://purl.org/linked-data/cube#Observation,2015-07-02,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85528,id
0,6733,90469,89130,http://purl.org/linked-data/cube#Observation,2015-08-05,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85528,id
0,6738,90471,89136,http://purl.org/linked-data/cube#Observation,2015-09-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85529,id
0,6750,90478,89148,http://purl.org/linked-data/cube#Observation,2015-10-02,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85535,id
0,6754,90488,89168,http://purl.org/linked-data/cube#Observation,2015-11-02,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85548,id
0,6750,90489,89168,http://purl.org/linked-data/cube#Observation,2015-11-23,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85548,id
0,6750,90491,89175,http://purl.org/linked-data/cube#Observation,2015-12-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85550,id
0,6836,90494,89193,http://purl.org/linked-data/cube#Observation,2015-12-26,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85556,id
0,6839,90646,89365,http://purl.org/linked-data/cube#Observation,2016-01-11,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85715,id
0,6842,90648,89370,http://purl.org/linked-data/cube#Observation,2016-02-03,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85717,id
0,6867,90649,89369,http://purl.org/linked-data/cube#Observation,2016-03-04,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85718,id
0,6867,90649,89369,http://purl.org/linked-data/cube#Observation,2016-03-05,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85718,id
0,6870,90657,89369,http://purl.org/linked-data/cube#Observation,2016-04-07,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85717,id
0,6871,90659,89372,http://purl.org/linked-data/cube#Observation,2016-05-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85717,id
0,6872,90662,89374,http://purl.org/linked-data/cube#Observation,2016-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85720,id
0,6885,90659,89373,http://purl.org/linked-data/cube#Observation,2016-07-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85719,id
0,6925,90658,89303,http://purl.org/linked-data/cube#Observation,2016-08-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85718,id
0,6926,90659,89305,http://purl.org/linked-data/cube#Observation,2016-09-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85719,id
0,6922,90658,89311,http://purl.org/linked-data/cube#Observation,2016-09-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85721,id
0,6925,90663,89322,http://purl.org/linked-data/cube#Observation,2016-10-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85726,id
0,7218,90666,89328,http://purl.org/linked-data/cube#Observation,2016-10-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85729,id
0,7225,90665,89329,http://purl.org/linked-data/cube#Observation,2016-11-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85728,id
0,7310,90673,89357,http://purl.org/linked-data/cube#Observation,2016-12-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85736,id
0,7313,90673,89357,http://purl.org/linked-data/cube#Observation,2016-12-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85736,id
0,7321,90674,89358,http://purl.org/linked-data/cube#Observation,2017-01-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85737,id
0,7333,90674,89358,http://purl.org/linked-data/cube#Observation,2017-01-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85737,id
0,7336,90674,89356,http://purl.org/linked-data/cube#Observation,2017-02-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85737,id
0,7345,90674,89356,http://purl.org/linked-data/cube#Observation,2017-02-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85737,id
0,7347,90674,89356,http://purl.org/linked-data/cube#Observation,2017-03-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,0,id
0,7355,90673,89355,http://purl.org/linked-data/cube#Observation,2017-03-19,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,0,id
0,7355,90673,89355,http://purl.org/linked-data/cube#Observation,2017-03-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85736,id
0,7365,90671,89361,http://purl.org/linked-data/cube#Observation,2017-04-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85739,id
0,7371,90675,89365,http://purl.org/linked-data/cube#Observation,2017-04-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85743,id
0,7371,90676,86090,http://purl.org/linked-data/cube#Observation,2017-05-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85744,id
0,7406,90679,86090,http://purl.org/linked-data/cube#Observation,2017-05-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85746,id
0,7425,90682,86093,http://purl.org/linked-data/cube#Observation,2017-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85749,id
0,7433,90683,86094,http://purl.org/linked-data/cube#Observation,2017-06-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85751,id
0,7448,90683,86094,http://purl.org/linked-data/cube#Observation,2017-07-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85751,id
0,7451,90679,86090,http://purl.org/linked-data/cube#Observation,2017-07-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85749,id
0,7450,90678,86088,http://purl.org/linked-data/cube#Observation,2017-08-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85748,id
0,7450,90681,86093,http://purl.org/linked-data/cube#Observation,2017-08-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85752,id
0,7451,90677,86087,http://purl.org/linked-data/cube#Observation,2017-09-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85748,id
0,7445,90678,86091,http://purl.org/linked-data/cube#Observation,2017-09-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85749,id
0,7443,90674,86085,http://purl.org/linked-data/cube#Observation,2017-10-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85745,id
0,7444,90676,86086,http://purl.org/linked-data/cube#Observation,2017-10-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85747,id
0,7438,90675,86086,http://purl.org/linked-data/cube#Observation,2017-11-03,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85746,id
0,7542,90681,86084,http://purl.org/linked-data/cube#Observation,2017-11-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85753,id
0,7822,90686,86091,http://purl.org/linked-data/cube#Observation,2017-12-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85756,id
0,9566,91507,87772,http://purl.org/linked-data/cube#Observation,2021-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86532,id
0,7831,90687,86094,http://purl.org/linked-data/cube#Observation,2017-12-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85758,id
0,7835,90689,86097,http://purl.org/linked-data/cube#Observation,2018-01-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85760,id
0,7878,90689,86098,http://purl.org/linked-data/cube#Observation,2018-01-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85760,id
0,7969,90688,86096,http://purl.org/linked-data/cube#Observation,2018-02-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85759,id
0,7995,90686,86092,http://purl.org/linked-data/cube#Observation,2018-02-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85757,id
0,7997,90685,86093,http://purl.org/linked-data/cube#Observation,2018-03-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85756,id
0,7999,90686,86094,http://purl.org/linked-data/cube#Observation,2018-03-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85757,id
0,7999,90686,86095,http://purl.org/linked-data/cube#Observation,2018-04-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85757,id
0,7991,90686,86096,http://purl.org/linked-data/cube#Observation,2018-04-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85757,id
0,7992,90687,86095,http://purl.org/linked-data/cube#Observation,2018-05-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85757,id
0,8094,90692,86127,http://purl.org/linked-data/cube#Observation,2018-05-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85761,id
0,8097,90691,86144,http://purl.org/linked-data/cube#Observation,2018-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85762,id
0,8140,90742,86219,http://purl.org/linked-data/cube#Observation,2018-06-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85805,id
0,8214,90744,86263,http://purl.org/linked-data/cube#Observation,2018-07-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85810,id
0,8214,90742,86260,http://purl.org/linked-data/cube#Observation,2018-07-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85808,id
0,8216,90741,86258,http://purl.org/linked-data/cube#Observation,2018-08-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85807,id
0,8462,90769,86348,http://purl.org/linked-data/cube#Observation,2018-08-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85834,id
0,8524,90787,86371,http://purl.org/linked-data/cube#Observation,2018-09-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85846,id
0,8543,90791,86426,http://purl.org/linked-data/cube#Observation,2018-09-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85856,id
0,8580,90806,86542,http://purl.org/linked-data/cube#Observation,2018-10-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85871,id
0,8642,90881,86589,http://purl.org/linked-data/cube#Observation,2018-10-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85936,id
0,8643,90885,86594,http://purl.org/linked-data/cube#Observation,2018-11-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85939,id
0,8646,90893,86605,http://purl.org/linked-data/cube#Observation,2018-11-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85949,id
0,8646,90893,86607,http://purl.org/linked-data/cube#Observation,2018-12-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85950,id
0,8645,90897,86604,http://purl.org/linked-data/cube#Observation,2018-12-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85953,id
0,8648,90901,86609,http://purl.org/linked-data/cube#Observation,2019-01-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85956,id
0,8657,90888,86611,http://purl.org/linked-data/cube#Observation,2019-01-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85957,id
0,8666,90889,86612,http://purl.org/linked-data/cube#Observation,2019-02-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85958,id
0,8662,90906,86596,http://purl.org/linked-data/cube#Observation,2019-02-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85958,id
0,8674,90909,86612,http://purl.org/linked-data/cube#Observation,2019-03-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85960,id
0,8683,90919,86616,http://purl.org/linked-data/cube#Observation,2019-03-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85963,id
0,8694,90919,86622,http://purl.org/linked-data/cube#Observation,2019-04-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85962,id
0,8922,90943,86658,http://purl.org/linked-data/cube#Observation,2019-04-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85980,id
0,9091,90951,86671,http://purl.org/linked-data/cube#Observation,2019-05-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85984,id
0,9175,90956,86670,http://purl.org/linked-data/cube#Observation,2019-05-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85986,id
0,9125,90953,86659,http://purl.org/linked-data/cube#Observation,2019-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85983,id
0,9131,90944,86647,http://purl.org/linked-data/cube#Observation,2019-06-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85978,id
0,8979,90963,86660,http://purl.org/linked-data/cube#Observation,2019-07-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85982,id
0,8980,90966,86663,http://purl.org/linked-data/cube#Observation,2019-07-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85982,id
0,8984,90965,86662,http://purl.org/linked-data/cube#Observation,2019-08-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85981,id
0,8986,90967,86664,http://purl.org/linked-data/cube#Observation,2019-08-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85983,id
0,8986,90967,86665,http://purl.org/linked-data/cube#Observation,2019-09-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85983,id
0,8988,90967,86673,http://purl.org/linked-data/cube#Observation,2019-09-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85985,id
0,8985,90983,86681,http://purl.org/linked-data/cube#Observation,2019-10-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85998,id
0,9017,90956,86596,http://purl.org/linked-data/cube#Observation,2019-10-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85980,id
0,9042,90998,86620,http://purl.org/linked-data/cube#Observation,2019-11-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,85995,id
0,9075,91007,86614,http://purl.org/linked-data/cube#Observation,2019-11-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86004,id
0,9091,91034,86649,http://purl.org/linked-data/cube#Observation,2019-12-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86017,id
0,9255,90967,86701,http://purl.org/linked-data/cube#Observation,2019-12-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86029,id
0,9255,90969,86705,http://purl.org/linked-data/cube#Observation,2020-01-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86031,id
0,101733,30478,38713,http://purl.org/linked-data/cube#Observation,2012-09-03,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,30946,fi
0,101943,30611,38858,http://purl.org/linked-data/cube#Observation,2012-09-13,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,31081,fi
0,101966,30657,38907,http://purl.org/linked-data/cube#Observation,2012-09-23,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,31127,fi
0,102089,30718,38984,http://purl.org/linked-data/cube#Observation,2012-10-03,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,31185,fi
0,103104,31239,39627,http://purl.org/linked-data/cube#Observation,2012-10-13,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,31673,fi
0,112810,40803,49217,http://purl.org/linked-data/cube#Observation,2012-10-25,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,41236,fi
0,113404,42372,50832,http://purl.org/linked-data/cube#Observation,2012-11-07,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,42705,fi
0,113839,42694,51182,http://purl.org/linked-data/cube#Observation,2012-11-19,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,43026,fi
0,114279,42813,51297,http://purl.org/linked-data/cube#Observation,2012-11-29,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,43158,fi
0,114658,43102,51642,http://purl.org/linked-data/cube#Observation,2012-12-10,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,43442,fi
0,115004,43427,51964,http://purl.org/linked-data/cube#Observation,2012-12-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,43559,fi
0,115100,43558,52099,http://purl.org/linked-data/cube#Observation,2013-01-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,43613,fi
0,115481,43860,52393,http://purl.org/linked-data/cube#Observation,2013-01-12,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,43898,fi
0,115904,44230,52675,http://purl.org/linked-data/cube#Observation,2013-01-22,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,44236,fi
0,116347,44483,52977,http://purl.org/linked-data/cube#Observation,2013-02-02,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,44400,fi
0,116775,44896,53477,http://purl.org/linked-data/cube#Observation,2013-02-13,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,44806,fi
0,117187,45685,53817,http://purl.org/linked-data/cube#Observation,2013-02-25,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,45652,fi
0,117574,45989,54164,http://purl.org/linked-data/cube#Observation,2013-03-12,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,45935,fi
0,205771,139250,111899,http://purl.org/linked-data/cube#Observation,2021-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,132533,fi
0,9261,91012,86718,http://purl.org/linked-data/cube#Observation,2020-01-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86043,id
0,9270,91239,87155,http://purl.org/linked-data/cube#Observation,2020-02-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86322,id
0,9270,91236,87175,http://purl.org/linked-data/cube#Observation,2020-02-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86324,id
0,9269,91235,87186,http://purl.org/linked-data/cube#Observation,2020-03-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86323,id
0,9153,91391,87571,http://purl.org/linked-data/cube#Observation,2020-04-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86444,id
0,9161,91396,87584,http://purl.org/linked-data/cube#Observation,2020-05-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86447,id
0,9161,91394,87580,http://purl.org/linked-data/cube#Observation,2020-05-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86445,id
0,9164,91396,87582,http://purl.org/linked-data/cube#Observation,2020-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86447,id
0,9412,91421,87615,http://purl.org/linked-data/cube#Observation,2020-06-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86462,id
0,9460,91430,87638,http://purl.org/linked-data/cube#Observation,2020-07-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86471,id
0,9460,91436,87648,http://purl.org/linked-data/cube#Observation,2020-08-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86478,id
0,9465,91439,87655,http://purl.org/linked-data/cube#Observation,2020-08-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86480,id
0,9466,91444,87669,http://purl.org/linked-data/cube#Observation,2020-09-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86485,id
0,9467,91444,87669,http://purl.org/linked-data/cube#Observation,2020-09-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86486,id
0,9468,91444,87669,http://purl.org/linked-data/cube#Observation,2020-10-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86486,id
0,9467,91460,87685,http://purl.org/linked-data/cube#Observation,2020-10-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86498,id
0,9465,91496,87753,http://purl.org/linked-data/cube#Observation,2020-11-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86526,id
0,9465,91495,87760,http://purl.org/linked-data/cube#Observation,2020-11-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86526,id
0,9465,91494,87760,http://purl.org/linked-data/cube#Observation,2020-12-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86526,id
0,9465,91493,87767,http://purl.org/linked-data/cube#Observation,2020-12-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86526,id
0,9453,91425,87626,http://purl.org/linked-data/cube#Observation,2020-07-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86467,id
0,9442,91483,87758,http://purl.org/linked-data/cube#Observation,2021-01-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86519,id
0,9443,91483,87728,http://purl.org/linked-data/cube#Observation,2021-01-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86516,id
0,9443,91487,87740,http://purl.org/linked-data/cube#Observation,2021-02-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86520,id
0,9447,91491,87740,http://purl.org/linked-data/cube#Observation,2021-02-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86522,id
0,9443,91504,87758,http://purl.org/linked-data/cube#Observation,2021-03-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86528,id
0,9573,91509,87766,http://purl.org/linked-data/cube#Observation,2021-03-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86532,id
0,9574,91510,87770,http://purl.org/linked-data/cube#Observation,2021-04-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86533,id
0,9570,91507,87770,http://purl.org/linked-data/cube#Observation,2021-04-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86530,id
0,9568,91509,87771,http://purl.org/linked-data/cube#Observation,2021-05-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86532,id
0,9566,91507,87771,http://purl.org/linked-data/cube#Observation,2021-05-20,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,86532,id
0,118261,46566,54840,http://purl.org/linked-data/cube#Observation,2013-03-26,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,46516,fi
0,118587,46931,55269,http://purl.org/linked-data/cube#Observation,2013-04-13,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,46866,fi
0,118566,47473,55841,http://purl.org/linked-data/cube#Observation,2013-05-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,47356,fi
0,118798,47950,56335,http://purl.org/linked-data/cube#Observation,2013-05-25,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,47827,fi
0,118728,48164,56559,http://purl.org/linked-data/cube#Observation,2013-06-08,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48050,fi
0,117702,48310,56714,http://purl.org/linked-data/cube#Observation,2013-06-21,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48190,fi
0,44944,48484,56896,http://purl.org/linked-data/cube#Observation,2013-07-06,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48230,fi
0,45064,48617,57038,http://purl.org/linked-data/cube#Observation,2013-07-23,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48366,fi
0,45281,48718,57164,http://purl.org/linked-data/cube#Observation,2013-08-12,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48472,fi
0,45397,48906,57342,http://purl.org/linked-data/cube#Observation,2013-08-22,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48658,fi
0,45550,49024,57468,http://purl.org/linked-data/cube#Observation,2013-09-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48775,fi
0,50879,49103,57552,http://purl.org/linked-data/cube#Observation,2013-09-15,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48852,fi
0,46719,49216,57677,http://purl.org/linked-data/cube#Observation,2013-09-27,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,48991,fi
0,46865,49369,57869,http://purl.org/linked-data/cube#Observation,2013-10-13,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49142,fi
0,46966,49415,57935,http://purl.org/linked-data/cube#Observation,2013-10-28,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49187,fi
0,47209,49502,58040,http://purl.org/linked-data/cube#Observation,2013-11-11,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49275,fi
0,119980,49502,58040,http://purl.org/linked-data/cube#Observation,2013-11-12,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49186,fi
0,120369,49620,58172,http://purl.org/linked-data/cube#Observation,2013-11-27,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49300,fi
0,120532,49728,58306,http://purl.org/linked-data/cube#Observation,2013-12-13,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49408,fi
0,120837,49993,58606,http://purl.org/linked-data/cube#Observation,2013-12-28,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49683,fi
0,121278,50227,58888,http://purl.org/linked-data/cube#Observation,2014-01-13,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,49911,fi
0,121884,50526,59263,http://purl.org/linked-data/cube#Observation,2014-01-29,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,50203,fi
0,121849,50526,59263,http://purl.org/linked-data/cube#Observation,2014-01-30,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,50203,fi
0,122724,50813,59612,http://purl.org/linked-data/cube#Observation,2014-02-17,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,50488,fi
0,123597,53662,62503,http://purl.org/linked-data/cube#Observation,2014-03-05,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,53313,fi
0,124202,53967,62899,http://purl.org/linked-data/cube#Observation,2014-03-22,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,53628,fi
0,124676,54883,64009,http://purl.org/linked-data/cube#Observation,2014-04-06,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,54535,fi
0,125314,55626,64815,http://purl.org/linked-data/cube#Observation,2014-04-27,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,55256,fi
0,125615,55783,64931,http://purl.org/linked-data/cube#Observation,2014-05-14,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,55399,fi
0,126025,56158,65151,http://purl.org/linked-data/cube#Observation,2014-06-01,http://kaiko.getalp.org/dbnary/statistics/dbnaryStatisticsCube,55655,fi
