,wiktionaryDumpVersion,f1Measure,recallMeasure,dataSet,enhancementMethod,observationLanguage,precisionMeasure,type
0,2020-07-01,0.6345082196085698,0.6346325531987027,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6343839347263501,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.6381284549049935,0.6382542133348086,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6380027460230444,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.9591713950976516,0.967728568899336,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9507642290657613,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.9581921750196265,0.9664827602393299,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9500426150005102,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,id,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.6350288583118722,0.6351522629129045,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.634905501654422,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.6350359030254346,0.6351585624857157,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6349132909310843,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.6342506265361276,0.6343720511872506,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6341292483597013,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.6342813336713935,0.6344020540504954,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6341606592273171,http://purl.org/linked-data/cube#Observation
0,2020-09-20,0.6347333858705182,0.6348532126578557,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6346136043085938,http://purl.org/linked-data/cube#Observation
0,2020-10-01,0.6343023409724866,0.6344217288451939,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6341829980250451,http://purl.org/linked-data/cube#Observation
0,2020-10-20,0.6374407119533808,0.6375571501143003,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6373243163152993,http://purl.org/linked-data/cube#Observation
0,2020-11-01,0.6372088394105467,0.6373249469696171,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6370927741486118,http://purl.org/linked-data/cube#Observation
0,2020-11-20,0.6368934396709421,0.6370166846691905,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.636770242352423,http://purl.org/linked-data/cube#Observation
0,2020-12-01,0.6365434843270295,0.6366663530198957,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6364206630492739,http://purl.org/linked-data/cube#Observation
0,2020-12-20,0.6364418442604618,0.6365640599001664,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6363196755407654,http://purl.org/linked-data/cube#Observation
0,2021-01-01,0.6365171366243122,0.6366390827258813,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6363952372305377,http://purl.org/linked-data/cube#Observation
0,2021-01-20,0.6373097928053428,0.6374388865083094,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6371807513797323,http://purl.org/linked-data/cube#Observation
0,2021-02-01,0.6376310131020987,0.637759887850082,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.637502190428087,http://purl.org/linked-data/cube#Observation
0,2021-02-20,0.6380079346672418,0.6381360229898011,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6378798977548061,http://purl.org/linked-data/cube#Observation
0,2021-03-01,0.6379911202265031,0.6381189485415154,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.637863343114501,http://purl.org/linked-data/cube#Observation
0,2021-03-20,0.6384773775439526,0.638604710375557,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6383500954805856,http://purl.org/linked-data/cube#Observation
0,2021-04-01,0.6387088981421761,0.6388359578652114,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6385818889515592,http://purl.org/linked-data/cube#Observation
0,2021-04-20,0.6384962505498155,0.6386226984712944,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.638369852692049,http://purl.org/linked-data/cube#Observation
0,2021-05-01,0.6382613361684422,0.6383875396200512,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6381351826055357,http://purl.org/linked-data/cube#Observation
0,2021-05-20,0.6382513633117277,0.6383772382443406,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,fi,0.6381255380092525,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.9592932316792571,0.9678350438375115,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9509008752449861,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.9591072214033376,0.9676557427918965,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9507084170783321,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.9582857069697045,0.9669438665614523,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9497812242369764,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.9583125444882766,0.9669819429357269,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.949797214336031,http://purl.org/linked-data/cube#Observation
0,2020-09-20,0.9582307403575676,0.9669050043655916,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.949710729024893,http://purl.org/linked-data/cube#Observation
0,2020-10-01,0.9580849767656031,0.9667223705247016,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9496005615764267,http://purl.org/linked-data/cube#Observation
0,2020-10-20,0.9577230409181827,0.9660415431941975,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9495465754188968,http://purl.org/linked-data/cube#Observation
0,2020-11-01,0.957701585387444,0.9660271360778976,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9495183133507891,http://purl.org/linked-data/cube#Observation
0,2020-11-20,0.9578551402424617,0.9661465160746808,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9497048650668612,http://purl.org/linked-data/cube#Observation
0,2020-12-01,0.9580705019383011,0.9663596413274926,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9499223565834182,http://purl.org/linked-data/cube#Observation
0,2020-12-20,0.9579477459711262,0.966304423183583,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9497343679095331,http://purl.org/linked-data/cube#Observation
0,2021-01-01,0.9579371149628074,0.9663112748277085,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9497068508635491,http://purl.org/linked-data/cube#Observation
0,2021-01-20,0.958023125017846,0.966417480222547,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9497733417125451,http://purl.org/linked-data/cube#Observation
0,2021-02-01,0.9580271560065544,0.9664228849054595,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9497760453222499,http://purl.org/linked-data/cube#Observation
0,2021-02-20,0.9585503332111759,0.966904350884742,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9503394357886943,http://purl.org/linked-data/cube#Observation
0,2021-03-01,0.9582845804620174,0.966652011955518,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9500607643810478,http://purl.org/linked-data/cube#Observation
0,2021-03-20,0.9584123521746609,0.9667557818799067,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9502117034673265,http://purl.org/linked-data/cube#Observation
0,2021-04-01,0.9583937607009163,0.9667406854101774,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9501897383347452,http://purl.org/linked-data/cube#Observation
0,2021-04-20,0.9582411012660291,0.9665063624426252,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9501160053151373,http://purl.org/linked-data/cube#Observation
0,2021-05-01,0.95820398821522,0.9664651175310737,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9500828905396224,http://purl.org/linked-data/cube#Observation
0,2021-05-20,0.9581741190270764,0.9664617826753051,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,fi,0.9500273846586852,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-09-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-10-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-11-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-12-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-01-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-02-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-03-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-04-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-01,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2021-05-20,0.0,0.0,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,bg,0.0,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.103448275862069,0.103448275862069,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,el,0.103448275862069,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.103448275862069,0.103448275862069,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,el,0.103448275862069,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.103448275862069,0.103448275862069,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,el,0.103448275862069,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.103448275862069,0.103448275862069,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,el,0.103448275862069,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.103448275862069,0.103448275862069,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,el,0.103448275862069,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.1304347826086956,0.1304347826086956,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,el,0.1304347826086956,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.2247765006385696,0.2758620689655172,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,el,0.1896551724137931,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.2247765006385696,0.2758620689655172,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,el,0.1896551724137931,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.2247765006385696,0.2758620689655172,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,el,0.1896551724137931,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.2247765006385696,0.2758620689655172,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,el,0.1896551724137931,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.2247765006385696,0.2758620689655172,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,el,0.1896551724137931,http://purl.org/linked-data/cube#Observation
0,2021-06-01,0.28341384863124,0.3478260869565217,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,dbnary_tversky,el,0.2391304347826087,http://purl.org/linked-data/cube#Observation
0,2020-07-01,0.5739915601577392,0.5920588897313178,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,de,0.5569942662180732,http://purl.org/linked-data/cube#Observation
0,2020-07-20,0.5740011028617017,0.5920808545079667,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,de,0.5569927983599875,http://purl.org/linked-data/cube#Observation
0,2020-08-01,0.5738659450228664,0.5919807495525038,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,de,0.5568268609798029,http://purl.org/linked-data/cube#Observation
0,2020-08-20,0.5743388839295267,0.5925201299825926,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,de,0.5572401889268217,http://purl.org/linked-data/cube#Observation
0,2020-09-01,0.5740013996334585,0.5923326945614877,http://kaiko.getalp.org/dbnary/statistics/enhancementConfidenceDataCube,random,de,0.5567706653395001,http://purl.org/linked-data/cube#Observation
